"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5431.conditionType";"session.node-9724.blockOrder";"session.node-9724.IATorder";"session.node-9724.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"1";"0";"module.GoNoGotutorial.exec-2507.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3993";"2013-11-25 13:04:14.989";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:10.989"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"2";"1";"module.GoNoGotutorial.exec-2507.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3994";"2013-11-25 13:04:20.255";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:16.255"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"3";"2";"module.GoNoGotutorial.exec-2507.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3996";"2013-11-25 13:04:25.520";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:21.520"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"4";"3";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1948";"2013-11-25 13:04:33.192";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:31.239";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"5";"4";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:36.411";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:34.458";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"6";"5";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:39.630";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:37.677";"2";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"7";"6";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:42.849";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:40.895";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"8";"7";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:46.067";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:44.114";"1";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"9";"8";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:49.286";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:47.333";"3";;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"10";"9";"module.GoNoGopractice.exec-1287.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2013-11-25 13:04:52.505";"6";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:04:50.552";"1";;;;;;;;;;
