"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6175.blockOrder";"session.node-6175.IATorder";"session.node-6175.keyOrder";"session.node-9378.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"1";"0";"module.GoNoGotutorial.exec-9662.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"4006";"2014-07-17 08:44:40.853";"leftResponse";"0";"FINISHED";"LEFT";"success";"1377";"0";"2014-07-17 08:44:36.845"
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"2";"1";"module.GoNoGotutorial.exec-9662.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"4006";"2014-07-17 08:44:46.151";"rightResponse";"1";"FINISHED";"RIGHT";"success";"536";"0";"2014-07-17 08:44:42.143"
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"3";"2";"module.GoNoGotutorial.exec-9662.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;"4005";"2014-07-17 08:44:51.430";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-07-17 08:44:47.421"
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"4";"3";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-07-17 08:44:58.099";"18";"0";"FINISHED";"LEFT";"success";"674";"0";"2014-07-17 08:44:56.139";"3";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"5";"4";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1947";"2014-07-17 08:45:01.339";"21";"1";"FINISHED";"RIGHT";"success";"331";"0";"2014-07-17 08:44:59.389";"3";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"6";"5";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1954";"2014-07-17 08:45:04.608";"14";"1";"FINISHED";"RIGHT";"failure";"651";"1";"2014-07-17 08:45:02.648";"2";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"7";"6";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1946";"2014-07-17 08:45:07.838";"26";"0";"FINISHED";"LEFT";"success";"635";"0";"2014-07-17 08:45:05.888";"3";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"8";"7";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1959";"2014-07-17 08:45:11.087";"2";"0";"FINISHED";"LEFT";"success";"539";"0";"2014-07-17 08:45:09.128";"1";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"9";"8";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1946";"2014-07-17 08:45:14.307";"30";"0";"FINISHED";"LEFT";"failure";"498";"1";"2014-07-17 08:45:12.357";"3";;;;;;;;;;
"uuphd03";"31/05/88";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-17 08:44:14.803";"2014-07-17 08:45:58.471";"1";"0";"1";"1";"1";"10";"9";"module.GoNoGopractice.exec-7212.GoNoGo_Practice";;;;;;;;;;;;;"1945";"2014-07-17 08:45:17.547";"6";"1";"FINISHED";"RIGHT";"failure";"434";"1";"2014-07-17 08:45:15.597";"1";;;;;;;;;;
