"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6367.conditionType";"session.node-8593.blockOrder";"session.node-8593.IATorder";"session.node-8593.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"1";"0";"module.GoNoGotutorial.exec-9793.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4002";"2014-09-11 11:18:19.670";"leftResponse";"0";"FINISHED";"LEFT";"success";"1932";"0";"2014-09-11 11:18:15.668"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"2";"1";"module.GoNoGotutorial.exec-9793.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-09-11 11:18:25.000";"rightResponse";"1";"FINISHED";"RIGHT";"success";"913";"0";"2014-09-11 11:18:20.999"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"3";"2";"module.GoNoGotutorial.exec-9793.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-09-11 11:18:30.310";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-09-11 11:18:26.309"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"4";"3";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1962";"2014-09-11 11:18:35.788";"18";"0";"FINISHED";"LEFT";"success";"452";"0";"2014-09-11 11:18:33.826";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"5";"4";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:18:39.049";"21";"1";"FINISHED";"RIGHT";"success";"438";"0";"2014-09-11 11:18:37.095";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"6";"5";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1960";"2014-09-11 11:18:42.316";"14";"1";"FINISHED";"RIGHT";"failure";"431";"1";"2014-09-11 11:18:40.356";"2";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"7";"6";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-09-11 11:18:45.580";"26";"0";"FINISHED";"LEFT";"success";"594";"0";"2014-09-11 11:18:43.626";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"8";"7";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-09-11 11:18:48.840";"2";"0";"FINISHED";"LEFT";"success";"485";"0";"2014-09-11 11:18:46.886";"1";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"9";"8";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:18:52.100";"30";"0";"FINISHED";"LEFT";"failure";"497";"1";"2014-09-11 11:18:50.146";"3";;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"10";"9";"module.GoNoGopractice.exec-8840.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-11 11:18:55.394";"6";"1";"FINISHED";"RIGHT";"failure";"395";"1";"2014-09-11 11:18:53.440";"1";;;;;;;;;;
