"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5165.conditionType";"session.node-7257.blockOrder";"session.node-7257.IATorder";"session.node-7257.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_block2.durationTime";"trial.IAT_block2.endTime";"trial.IAT_block2.outcome";"trial.IAT_block2.response";"trial.IAT_block2.result";"trial.IAT_block2.RT";"trial.IAT_block2.startTime";"trial.IAT_block2.Stimfile";"trial.IAT_block2.stimType";"trial.IAT_block2.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"1";"0";"module.GoNoGotutorial.exec-1085.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4002";"2014-09-30 20:11:59.141";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-09-30 20:11:55.138";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"2";"1";"module.GoNoGotutorial.exec-1085.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-09-30 20:12:04.478";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-09-30 20:12:00.478";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"3";"2";"module.GoNoGotutorial.exec-1085.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-09-30 20:12:09.834";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-09-30 20:12:05.833";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"4";"3";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1970";"2014-09-30 20:12:18.450";"18";"0";"FINISHED";"RIGHT";"failure";"1099";"0";"2014-09-30 20:12:16.479";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"5";"4";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1955";"2014-09-30 20:12:21.705";"21";"1";"FINISHED";"LEFT";"failure";"629";"0";"2014-09-30 20:12:19.749";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"6";"5";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2014";"2014-09-30 20:12:25.067";"14";"1";"FINISHED";"RIGHT";"success";"1020";"0";"2014-09-30 20:12:23.053";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"7";"6";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-30 20:12:28.315";"26";"0";"FINISHED";"LEFT";"success";"433";"0";"2014-09-30 20:12:26.360";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"8";"7";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-30 20:12:31.566";"2";"0";"FINISHED";"LEFT";"success";"678";"0";"2014-09-30 20:12:29.611";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"9";"8";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-09-30 20:12:34.817";"30";"0";"FINISHED";"LEFT";"success";"514";"0";"2014-09-30 20:12:32.863";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"C1445516";"1996";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-30 20:11:25.422";"2014-09-30 20:27:25.684";"1";"0";"0";"1";"0";"10";"9";"module.GoNoGopractice.exec-7970.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1955";"2014-09-30 20:12:38.088";"6";"1";"FINISHED";"RIGHT";"success";"411";"0";"2014-09-30 20:12:36.132";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
