"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2514.conditionType";"session.node-8108.blockOrder";"session.node-8108.IATorder";"session.node-8108.keyOrder";"session.node-9503.conditionType";"session.node-9732.blockOrder";"session.node-9732.IATorder";"session.node-9732.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"1";"0";"module.GoNoGotutorial.exec-1483.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3988";"2014-10-01 10:47:16.695";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-10-01 10:47:12.695"
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"2";"1";"module.GoNoGotutorial.exec-1483.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3986";"2014-10-01 10:47:22.101";"rightResponse";"1";"FINISHED";"RIGHT";"success";"2169";"0";"2014-10-01 10:47:18.101"
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"3";"2";"module.GoNoGotutorial.exec-1483.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3994";"2014-10-01 10:47:27.367";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-01 10:47:23.367"
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"4";"3";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:47:34.945";"18";"0";"FINISHED";"LEFT";"success";"638";"0";"2014-10-01 10:47:32.992";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"5";"4";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:47:38.164";"21";"1";"FINISHED";"RIGHT";"success";"379";"0";"2014-10-01 10:47:36.210";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"6";"5";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:47:41.382";"14";"1";"FINISHED";"RIGHT";"failure";"385";"1";"2014-10-01 10:47:39.429";"2";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"7";"6";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-01 10:47:44.601";"26";"0";"FINISHED";"LEFT";"success";"438";"0";"2014-10-01 10:47:42.648";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"8";"7";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-01 10:47:47.820";"2";"0";"FINISHED";"LEFT";"success";"683";"0";"2014-10-01 10:47:45.867";"1";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"9";"8";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1948";"2014-10-01 10:47:51.039";"30";"0";"FINISHED";"LEFT";"failure";"456";"1";"2014-10-01 10:47:49.085";"3";;;;;;;;;;
"chadwick123";"1994";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"2";"2";"2014-10-01 10:46:53.148";"2014-10-01 10:55:02.820";"1";"1";;;;;"1";"0";"1";"10";"9";"module.GoNoGopractice.exec-4919.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-10-01 10:47:54.257";"6";"1";"FINISHED";"RIGHT";"failure";"709";"1";"2014-10-01 10:47:52.304";"1";;;;;;;;;;
