"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2871.blockOrder";"session.node-2871.IATorder";"session.node-2871.keyOrder";"session.node-3603.blockOrder";"session.node-3603.IATorder";"session.node-3603.keyOrder";"session.node-7436.conditionType";"session.node-7710.conditionType";"trial.id";"trial.index";"trial.name";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.location";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.response";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.result";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-4912.GoNoGo_Practice.stimulus type";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.location";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.response";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.result";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-9109.GoNoGo_Practice.stimulus type";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-1058.GoNoGo_Tutorial.startTime";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial.startTime";"module.training_block1.exec-1944.GoNoGo1.durationTime";"module.training_block1.exec-1944.GoNoGo1.endTime";"module.training_block1.exec-1944.GoNoGo1.icon";"module.training_block1.exec-1944.GoNoGo1.location";"module.training_block1.exec-1944.GoNoGo1.outcome";"module.training_block1.exec-1944.GoNoGo1.response";"module.training_block1.exec-1944.GoNoGo1.result";"module.training_block1.exec-1944.GoNoGo1.RT";"module.training_block1.exec-1944.GoNoGo1.signal";"module.training_block1.exec-1944.GoNoGo1.startTime";"module.training_block1.exec-1944.GoNoGo1.stimulus type";"module.training_block1.exec-8899.GoNoGo1.durationTime";"module.training_block1.exec-8899.GoNoGo1.endTime";"module.training_block1.exec-8899.GoNoGo1.icon";"module.training_block1.exec-8899.GoNoGo1.location";"module.training_block1.exec-8899.GoNoGo1.outcome";"module.training_block1.exec-8899.GoNoGo1.response";"module.training_block1.exec-8899.GoNoGo1.result";"module.training_block1.exec-8899.GoNoGo1.RT";"module.training_block1.exec-8899.GoNoGo1.signal";"module.training_block1.exec-8899.GoNoGo1.startTime";"module.training_block1.exec-8899.GoNoGo1.stimulus type"
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"29";"0";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3995";"2014-01-22 17:04:34.031";"leftResponse";"0";"FINISHED";"LEFT";"success";"1595";"0";"2014-01-22 17:04:30.031";;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"30";"1";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3995";"2014-01-22 17:04:39.296";"rightResponse";"1";"FINISHED";"RIGHT";"success";"345";"0";"2014-01-22 17:04:35.296";;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"31";"2";"module.GoNoGotutorial.exec-9587.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3995";"2014-01-22 17:04:44.562";"signalResponse";"0";"FINISHED";"LEFT";"failure";"407";"1";"2014-01-22 17:04:40.562";;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"32";"3";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1947";"2014-01-22 17:04:51.062";"18";"0";"FINISHED";"LEFT";"success";"372";"0";"2014-01-22 17:04:49.109";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"33";"4";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1948";"2014-01-22 17:04:54.281";"21";"1";"FINISHED";"RIGHT";"success";"362";"0";"2014-01-22 17:04:52.328";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"34";"5";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-01-22 17:04:57.500";"14";"1";"FINISHED";"RIGHT";"failure";"394";"1";"2014-01-22 17:04:55.546";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"35";"6";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-01-22 17:05:00.718";"26";"0";"FINISHED";"LEFT";"success";"415";"0";"2014-01-22 17:04:58.765";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"36";"7";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-01-22 17:05:03.937";"2";"0";"FINISHED";"LEFT";"success";"581";"0";"2014-01-22 17:05:01.984";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"37";"8";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-01-22 17:05:07.156";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-01-22 17:05:05.203";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rachel";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-01-22 17:04:23.015";"2014-01-22 17:06:23.781";"1";;;;"1";"0";"0";;"1";"38";"9";"module.GoNoGopractice.exec-9109.GoNoGo_Practice";;;;;;;;;;;;"1941";"2014-01-22 17:05:10.375";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-01-22 17:05:08.421";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
