"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7373.blockOrder";"session.node-7373.IATorder";"session.node-7373.keyOrder";"session.node-9826.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"1";"0";"module.GoNoGotutorial.exec-6919.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3994";"2014-02-16 17:30:02.094";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-16 17:29:58.094"
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"2";"1";"module.GoNoGotutorial.exec-6919.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-02-16 17:30:07.434";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-16 17:30:03.434"
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"3";"2";"module.GoNoGotutorial.exec-6919.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3995";"2014-02-16 17:30:12.784";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-16 17:30:08.784"
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"4";"3";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-16 17:30:20.384";"18";"0";"FINISHED";"LEFT";"success";"853";"0";"2014-02-16 17:30:18.434";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"5";"4";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1941";"2014-02-16 17:30:23.654";"21";"1";"FINISHED";"RIGHT";"success";"489";"0";"2014-02-16 17:30:21.704";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"6";"5";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1941";"2014-02-16 17:30:26.934";"14";"1";"FINISHED";"RIGHT";"success";"499";"0";"2014-02-16 17:30:24.984";"2";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"7";"6";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1940";"2014-02-16 17:30:30.204";"26";"0";"FINISHED";"LEFT";"success";"395";"0";"2014-02-16 17:30:28.254";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"8";"7";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1941";"2014-02-16 17:30:33.474";"2";"0";"FINISHED";"LEFT";"success";"372";"0";"2014-02-16 17:30:31.524";"1";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"9";"8";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1947";"2014-02-16 17:30:36.744";"30";"0";"FINISHED";"LEFT";"success";"381";"0";"2014-02-16 17:30:34.794";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"10";"9";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1941";"2014-02-16 17:30:40.004";"6";"1";"FINISHED";"RIGHT";"success";"343";"0";"2014-02-16 17:30:38.054";"1";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"11";"10";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1943";"2014-02-16 17:30:43.284";"34";"0";"FINISHED";"LEFT";"success";"361";"0";"2014-02-16 17:30:41.334";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"12";"11";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1941";"2014-02-16 17:30:46.544";"23";"1";"FINISHED";"RIGHT";"success";"353";"0";"2014-02-16 17:30:44.594";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"13";"12";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1940";"2014-02-16 17:30:49.814";"13";"0";"FINISHED";"LEFT";"success";"368";"0";"2014-02-16 17:30:47.864";"2";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"14";"13";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1943";"2014-02-16 17:30:53.074";"3";"1";"FINISHED";"RIGHT";"success";"334";"0";"2014-02-16 17:30:51.124";"1";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"15";"14";"module.GoNoGopractice.exec-8533.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1942";"2014-02-16 17:30:56.334";"27";"1";"FINISHED";"RIGHT";"success";"400";"0";"2014-02-16 17:30:54.384";"3";;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"16";"15";"module.training_block1.exec-7505.GoNoGo1";"1246";"2014-02-16 17:31:04.954";"13";"0";"FINISHED";"LEFT";"success";"371";"0";"2014-02-16 17:31:03.704";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"17";"16";"module.training_block1.exec-7505.GoNoGo1";"1241";"2014-02-16 17:31:07.524";"32";"1";"FINISHED";"RIGHT";"success";"418";"0";"2014-02-16 17:31:06.274";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"18";"17";"module.training_block1.exec-7505.GoNoGo1";"1247";"2014-02-16 17:31:10.084";"6";"0";"FINISHED";"LEFT";"success";"356";"0";"2014-02-16 17:31:08.834";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
