"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5781.conditionType";"session.node-8005.DPorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"1";"0";"module.GoNoGotutorial.exec-8151.GoNoGo_Tutorial";;;;;;;;;;;;"4002";"2014-02-11 12:46:20.542";"leftResponse";"0";"FINISHED";"LEFT";"success";"3945";"0";"2014-02-11 12:46:16.540"
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"2";"1";"module.GoNoGotutorial.exec-8151.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2014-02-11 12:46:25.848";"rightResponse";"1";"FINISHED";"RIGHT";"success";"3496";"0";"2014-02-11 12:46:21.847"
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"3";"2";"module.GoNoGotutorial.exec-8151.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2014-02-11 12:46:31.138";"quickResponse";"0";"FINISHED";"RIGHT";"failure";"1606";"0";"2014-02-11 12:46:27.137"
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"4";"3";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1958";"2014-02-11 12:46:37.772";"18";"0";"FINISHED";"LEFT";"success";"425";"0";"2014-02-11 12:46:35.814";"3";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"5";"4";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1954";"2014-02-11 12:46:41.014";"21";"1";"FINISHED";"RIGHT";"success";"451";"0";"2014-02-11 12:46:39.060";"3";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"6";"5";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1954";"2014-02-11 12:46:44.259";"14";"1";"FINISHED";"RIGHT";"success";"543";"0";"2014-02-11 12:46:42.304";"2";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"7";"6";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1954";"2014-02-11 12:46:47.505";"26";"0";"FINISHED";"LEFT";"success";"424";"0";"2014-02-11 12:46:45.551";"3";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"8";"7";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1952";"2014-02-11 12:46:50.743";"2";"0";"FINISHED";"LEFT";"success";"577";"0";"2014-02-11 12:46:48.790";"1";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"9";"8";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1954";"2014-02-11 12:46:53.981";"30";"0";"FINISHED";"LEFT";"success";"459";"0";"2014-02-11 12:46:52.027";"3";;;;;;;;;;
"Yr2Prac_testDot";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 12:45:46.721";"2014-02-11 12:47:15.165";"1";"0";"5";"10";"9";"module.GoNoGopractice.exec-6036.GoNoGo_Practice";"1954";"2014-02-11 12:46:57.220";"6";"1";"FINISHED";"RIGHT";"success";"356";"0";"2014-02-11 12:46:55.266";"1";;;;;;;;;;
