"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1623.DPorder";"session.node-1805.DPorder";"session.node-2686.conditionType";"session.node-8996.conditionType";"trial.id";"trial.index";"trial.name";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.location";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.response";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.result";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-3778.GoNoGo_Practice.stimulus type";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.durationTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.endTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.icon";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.location";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.outcome";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.response";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.result";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.RT";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.signal";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.startTime";"module.GoNoGopractice.exec-8784.GoNoGo_Practice.stimulus type";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial.startTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.durationTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.endTime";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.icon";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.location";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.outcome";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.response";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.result";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.RT";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.signal";"module.GoNoGotutorial.exec-9897.GoNoGo_Tutorial.startTime";"module.training_block1.exec-6125.GoNoGo1.durationTime";"module.training_block1.exec-6125.GoNoGo1.endTime";"module.training_block1.exec-6125.GoNoGo1.icon";"module.training_block1.exec-6125.GoNoGo1.location";"module.training_block1.exec-6125.GoNoGo1.outcome";"module.training_block1.exec-6125.GoNoGo1.response";"module.training_block1.exec-6125.GoNoGo1.result";"module.training_block1.exec-6125.GoNoGo1.RT";"module.training_block1.exec-6125.GoNoGo1.signal";"module.training_block1.exec-6125.GoNoGo1.startTime";"module.training_block1.exec-6125.GoNoGo1.stimulus type";"module.training_block2.exec-4112.GoNoGo2.durationTime";"module.training_block2.exec-4112.GoNoGo2.endTime";"module.training_block2.exec-4112.GoNoGo2.icon";"module.training_block2.exec-4112.GoNoGo2.location";"module.training_block2.exec-4112.GoNoGo2.outcome";"module.training_block2.exec-4112.GoNoGo2.response";"module.training_block2.exec-4112.GoNoGo2.result";"module.training_block2.exec-4112.GoNoGo2.RT";"module.training_block2.exec-4112.GoNoGo2.signal";"module.training_block2.exec-4112.GoNoGo2.startTime";"module.training_block2.exec-4112.GoNoGo2.stimulus type";"module.training_block3.exec-7623.GoNoGo3.durationTime";"module.training_block3.exec-7623.GoNoGo3.endTime";"module.training_block3.exec-7623.GoNoGo3.icon";"module.training_block3.exec-7623.GoNoGo3.location";"module.training_block3.exec-7623.GoNoGo3.outcome";"module.training_block3.exec-7623.GoNoGo3.response";"module.training_block3.exec-7623.GoNoGo3.result";"module.training_block3.exec-7623.GoNoGo3.RT";"module.training_block3.exec-7623.GoNoGo3.signal";"module.training_block3.exec-7623.GoNoGo3.startTime";"module.training_block3.exec-7623.GoNoGo3.stimulus type"
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"6";"0";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-15 21:03:50.301";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-15 21:03:46.301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"7";"1";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-15 21:03:55.584";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-15 21:03:51.584";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"8";"2";"module.GoNoGotutorial.exec-5747.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-15 21:04:00.862";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-15 21:03:56.861";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"9";"3";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1955";"2014-02-15 21:04:07.454";"18";"0";"FINISHED";"LEFT";"success";"448";"0";"2014-02-15 21:04:05.499";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"10";"4";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:10.684";"21";"1";"FINISHED";"RIGHT";"success";"667";"0";"2014-02-15 21:04:08.732";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"11";"5";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1954";"2014-02-15 21:04:13.918";"14";"1";"FINISHED";"RIGHT";"failure";"660";"1";"2014-02-15 21:04:11.963";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"12";"6";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:17.159";"26";"0";"FINISHED";"LEFT";"success";"512";"0";"2014-02-15 21:04:15.208";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"13";"7";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1952";"2014-02-15 21:04:20.403";"2";"0";"FINISHED";"LEFT";"success";"501";"0";"2014-02-15 21:04:18.450";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"14";"8";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:23.638";"30";"0";"FINISHED";"LEFT";"failure";"417";"1";"2014-02-15 21:04:21.686";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NBCB";"1994";;"Mac OS X";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"2";"2";"2014-02-15 21:03:24.183";"2014-02-15 21:09:54.511";"1";"2";;;"1";"15";"9";"module.GoNoGopractice.exec-8784.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-15 21:04:26.878";"6";"1";"FINISHED";"RIGHT";"failure";"785";"1";"2014-02-15 21:04:24.926";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
