"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-4312.DevalQorder";"session.node-5463.conditionType";"session.node-6045.conditionType";"session.node-7832.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.deval1.durationTime";"trial.deval1.endTime";"trial.deval1.icon";"trial.deval1.Resp_Attractive";"trial.deval1.Resp_Eat";"trial.deval1.Resp_Taste";"trial.deval1.RT_Attractive";"trial.deval1.RT_Eat";"trial.deval1.RT_Taste";"trial.deval1.startTime";"trial.deval1.stimulus type";"trial.devalPractice.durationTime";"trial.devalPractice.endTime";"trial.devalPractice.icon";"trial.devalPractice.Resp_Attractive";"trial.devalPractice.Resp_Eat";"trial.devalPractice.Resp_Taste";"trial.devalPractice.RT_Attractive";"trial.devalPractice.RT_Eat";"trial.devalPractice.RT_Taste";"trial.devalPractice.startTime";"trial.devalPractice.stimulus type";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"1";"0";"module.GoNoGotutorial.exec-9218.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-10-06 00:16:28.415";"leftResponse";"0";"FINISHED";"LEFT";"success";"3564";"0";"2014-10-06 00:16:24.413"
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"2";"1";"module.GoNoGotutorial.exec-9218.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-10-06 00:16:33.777";"rightResponse";"1";"FINISHED";"RIGHT";"success";"1917";"0";"2014-10-06 00:16:29.777"
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"3";"2";"module.GoNoGotutorial.exec-9218.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-10-06 00:16:39.122";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-06 00:16:35.122"
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"4";"3";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1968";"2014-10-06 00:16:50.673";"18";"0";"FINISHED";"LEFT";"success";"843";"0";"2014-10-06 00:16:48.705";"3";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"5";"4";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1955";"2014-10-06 00:16:53.978";"21";"1";"FINISHED";"RIGHT";"success";"578";"0";"2014-10-06 00:16:52.023";"3";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"6";"5";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1963";"2014-10-06 00:16:57.294";"14";"1";"FINISHED";"RIGHT";"failure";"633";"1";"2014-10-06 00:16:55.330";"2";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"7";"6";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2014-10-06 00:17:00.593";"26";"0";"FINISHED";"LEFT";"success";"829";"0";"2014-10-06 00:16:58.638";"3";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"8";"7";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1956";"2014-10-06 00:17:03.895";"2";"0";"FINISHED";"LEFT";"success";"615";"0";"2014-10-06 00:17:01.939";"1";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"9";"8";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1964";"2014-10-06 00:17:07.203";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-06 00:17:05.238";"3";;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"10";"9";"module.GoNoGopractice.exec-1375.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-10-06 00:17:10.500";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-06 00:17:08.545";"1";;;;;;;;;;
