"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6799.DevalQorder";"session.node-8525.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"1";"0";"module.GoNoGotutorial.exec-4809.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4002";"2014-10-16 12:49:19.423";"leftResponse";"0";"FINISHED";"LEFT";"success";"3385";"0";"2014-10-16 12:49:15.421"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"2";"1";"module.GoNoGotutorial.exec-4809.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-10-16 12:49:24.768";"rightResponse";"1";"FINISHED";"RIGHT";"success";"2138";"0";"2014-10-16 12:49:20.768"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"3";"2";"module.GoNoGotutorial.exec-4809.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-10-16 12:49:30.081";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:49:26.081"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"4";"3";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1963";"2014-10-16 12:49:40.042";"18";"0";"FINISHED";"LEFT";"success";"1119";"0";"2014-10-16 12:49:38.078";"3";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"5";"4";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-10-16 12:49:43.317";"21";"1";"FINISHED";"RIGHT";"success";"647";"0";"2014-10-16 12:49:41.364";"3";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"6";"5";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-16 12:49:46.591";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:49:44.630";"2";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"7";"6";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-10-16 12:49:49.854";"26";"0";"FINISHED";"LEFT";"success";"745";"0";"2014-10-16 12:49:47.900";"3";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"8";"7";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-10-16 12:49:53.117";"2";"0";"FINISHED";"LEFT";"success";"599";"0";"2014-10-16 12:49:51.163";"1";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"9";"8";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2014-10-16 12:49:56.376";"30";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:49:54.422";"3";;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"10";"9";"module.GoNoGopractice.exec-4462.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1959";"2014-10-16 12:49:59.640";"6";"1";"FINISHED";"RIGHT";"failure";"733";"1";"2014-10-16 12:49:57.680";"1";;;;;;;;;;
