"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-4384.conditionType";"session.node-7868.DPorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"1";"0";"module.GoNoGotutorial.exec-4960.GoNoGo_Tutorial";;;;;;;;;;;;"4002";"2014-01-30 14:37:03.520";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:36:59.520"
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"2";"1";"module.GoNoGotutorial.exec-4960.GoNoGo_Tutorial";;;;;;;;;;;;"4002";"2014-01-30 14:37:08.847";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:04.847"
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"3";"2";"module.GoNoGotutorial.exec-4960.GoNoGo_Tutorial";;;;;;;;;;;;"4002";"2014-01-30 14:37:14.169";"quickResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:10.169"
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"4";"3";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1955";"2014-01-30 14:37:23.148";"18";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:21.193";"3";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"5";"4";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1950";"2014-01-30 14:37:26.422";"21";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:24.471";"3";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"6";"5";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1950";"2014-01-30 14:37:29.713";"14";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:27.762";"2";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"7";"6";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1953";"2014-01-30 14:37:33.013";"26";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:31.062";"3";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"8";"7";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1954";"2014-01-30 14:37:36.262";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:34.310";"1";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"9";"8";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1954";"2014-01-30 14:37:39.536";"30";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:37.585";"3";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"10";"9";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1955";"2014-01-30 14:37:43.038";"6";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:41.083";"1";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"11";"10";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1951";"2014-01-30 14:37:46.302";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:44.351";"3";;;;;;;;;;
"Rachel";;;"Windows Vista";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-01-30 14:36:55.121";"2014-01-30 14:38:18.018";"1";"0";"0";"12";"11";"module.GoNoGopractice.exec-3593.GoNoGo_Practice";"1951";"2014-01-30 14:37:49.559";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-01-30 14:37:47.607";"3";;;;;;;;;;
