"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2845.conditionType";"session.node-4269.DPorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"1";"0";"module.GoNoGotutorial.exec-3768.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4001";"2014-02-12 13:23:37.661";"leftResponse";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:23:33.659"
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"2";"1";"module.GoNoGotutorial.exec-3768.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"4000";"2014-02-12 13:23:42.987";"rightResponse";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:23:38.986"
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"3";"2";"module.GoNoGotutorial.exec-3768.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;"3999";"2014-02-12 13:23:48.295";"signalResponse";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:23:44.295"
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"4";"3";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1961";"2014-02-12 13:23:56.465";"18";"0";"FINISHED";"LEFT";"success";"345";"0";"2014-02-12 13:23:54.504";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"5";"4";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-12 13:23:59.726";"21";"1";"FINISHED";"RIGHT";"success";"435";"0";"2014-02-12 13:23:57.773";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"6";"5";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"2093";"2014-02-12 13:24:03.128";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:24:01.034";"2";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"7";"6";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1958";"2014-02-12 13:24:06.410";"26";"0";"FINISHED";"LEFT";"success";"428";"0";"2014-02-12 13:24:04.451";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"8";"7";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-12 13:24:09.670";"2";"0";"FINISHED";"LEFT";"success";"999";"0";"2014-02-12 13:24:07.718";"1";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"9";"8";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1959";"2014-02-12 13:24:12.945";"30";"0";"FINISHED";"LEFT";"failure";"573";"1";"2014-02-12 13:24:10.985";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"10";"9";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-12 13:24:16.207";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:24:14.255";"1";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"11";"10";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-12 13:24:19.463";"34";"0";"FINISHED";"LEFT";"success";"693";"0";"2014-02-12 13:24:17.511";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"12";"11";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1970";"2014-02-12 13:24:22.738";"23";"1";"FINISHED";"RIGHT";"success";"563";"0";"2014-02-12 13:24:20.768";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"13";"12";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1951";"2014-02-12 13:24:25.993";"13";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:24:24.041";"2";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"14";"13";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1958";"2014-02-12 13:24:29.260";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:27.301";"1";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"15";"14";"module.GoNoGopractice.exec-2018.GoNoGo_Practice";;;;;;;;;;;;"1952";"2014-02-12 13:24:32.524";"27";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:24:30.572";"3";;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"16";"15";"module.training_block1.exec-4852.GoNoGo1";"1251";"2014-02-12 13:24:42.143";"8";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-12 13:24:40.892";"1";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"17";"16";"module.training_block1.exec-4852.GoNoGo1";"1250";"2014-02-12 13:24:44.713";"21";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:43.463";"3";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"18";"17";"module.training_block1.exec-4852.GoNoGo1";"1250";"2014-02-12 13:24:47.273";"17";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:46.023";"2";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"19";"18";"module.training_block1.exec-4852.GoNoGo1";"1250";"2014-02-12 13:24:49.827";"24";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:48.577";"3";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"20";"19";"module.training_block1.exec-4852.GoNoGo1";"1250";"2014-02-12 13:24:52.370";"27";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:51.119";"3";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"21";"20";"module.training_block1.exec-4852.GoNoGo1";"1249";"2014-02-12 13:24:54.934";"15";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:53.684";"2";;;;;;;;;;;;;;;;;;;;;
"Year2prac_test";"1992";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-12 13:23:19.548";"2014-02-12 13:26:01.014";"1";"1";"5";"22";"21";"module.training_block1.exec-4852.GoNoGo1";"1250";"2014-02-12 13:24:57.494";"12";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-12 13:24:56.244";"2";;;;;;;;;;;;;;;;;;;;;
