"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2099.conditionType";"session.node-8478.DPorder";"trial.id";"trial.index";"trial.name";"trial.DP_practice.durationTime";"trial.DP_practice.endTime";"trial.DP_practice.outcome";"trial.DP_practice.probeLoc";"trial.DP_practice.response";"trial.DP_practice.result";"trial.DP_practice.RT";"trial.DP_practice.startTime";"trial.DP_practice.stimDuration";"trial.DP_practice.wordLeft";"trial.DP_practice.wordRight";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"1";"0";"module.GoNoGotutorial.exec-6639.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4004";"2015-02-12 19:39:56.340";"leftResponse";"0";"FINISHED";"LEFT";"success";"557";"0";"2015-02-12 19:39:52.334"
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"2";"1";"module.GoNoGotutorial.exec-6639.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2015-02-12 19:40:01.724";"rightResponse";"1";"FINISHED";"RIGHT";"success";"556";"0";"2015-02-12 19:39:57.724"
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"3";"2";"module.GoNoGotutorial.exec-6639.GoNoGo_Tutorial";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3999";"2015-02-12 19:40:07.073";"quickResponse";"0";"FINISHED";"LEFT";"success";"3631";"0";"2015-02-12 19:40:03.073"
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"4";"3";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2004";"2015-02-12 19:40:16.558";"18";"0";"FINISHED";"LEFT";"success";"321";"0";"2015-02-12 19:40:14.554";"3";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"5";"4";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2015-02-12 19:40:19.851";"21";"1";"FINISHED";"RIGHT";"success";"305";"0";"2015-02-12 19:40:17.896";"3";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"6";"5";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2015-02-12 19:40:23.136";"14";"1";"FINISHED";"RIGHT";"success";"318";"0";"2015-02-12 19:40:21.181";"2";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"7";"6";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2015-02-12 19:40:26.405";"26";"0";"FINISHED";"LEFT";"success";"301";"0";"2015-02-12 19:40:24.452";"3";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"8";"7";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1954";"2015-02-12 19:40:29.698";"2";"0";"FINISHED";"LEFT";"success";"314";"0";"2015-02-12 19:40:27.744";"1";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"9";"8";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1955";"2015-02-12 19:40:32.966";"30";"0";"FINISHED";"LEFT";"success";"332";"0";"2015-02-12 19:40:31.011";"3";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"10";"9";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1953";"2015-02-12 19:40:36.262";"6";"1";"FINISHED";"RIGHT";"success";"304";"0";"2015-02-12 19:40:34.308";"1";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"11";"10";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1956";"2015-02-12 19:40:39.520";"34";"0";"FINISHED";"LEFT";"success";"276";"0";"2015-02-12 19:40:37.564";"3";;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"12";"11";"module.GoNoGopractice.exec-8705.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1955";"2015-02-12 19:40:42.791";"23";"1";"FINISHED";"RIGHT";"success";"299";"0";"2015-02-12 19:40:40.835";"3";;;;;;;;;;
