"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-8123.DPorder";"session.node-9893.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"496";"0";"module.GoNoGotutorial.exec-6615.GoNoGo_Tutorial";;;;;;;;;;;;"4001";"2015-02-24 15:28:22.171";"leftResponse";"0";"FINISHED";"LEFT";"success";"1493";"0";"2015-02-24 15:28:18.170"
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"497";"1";"module.GoNoGotutorial.exec-6615.GoNoGo_Tutorial";;;;;;;;;;;;"3995";"2015-02-24 15:28:27.541";"rightResponse";"1";"FINISHED";"RIGHT";"success";"531";"0";"2015-02-24 15:28:23.541"
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"498";"2";"module.GoNoGotutorial.exec-6615.GoNoGo_Tutorial";;;;;;;;;;;;"3996";"2015-02-24 15:28:32.863";"signalResponse";"0";"FINISHED";"LEFT";"failure";"402";"1";"2015-02-24 15:28:28.861"
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"499";"3";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1968";"2015-02-24 15:28:44.331";"18";"0";"FINISHED";"LEFT";"success";"676";"0";"2015-02-24 15:28:42.356";"3";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"500";"4";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1947";"2015-02-24 15:28:47.601";"21";"1";"FINISHED";"RIGHT";"success";"650";"0";"2015-02-24 15:28:45.651";"3";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"501";"5";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1969";"2015-02-24 15:28:50.901";"14";"1";"FINISHED";"NONE";"success";"0";"1";"2015-02-24 15:28:48.931";"2";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"502";"6";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1947";"2015-02-24 15:28:54.181";"26";"0";"FINISHED";"LEFT";"success";"654";"0";"2015-02-24 15:28:52.231";"3";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"503";"7";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1965";"2015-02-24 15:28:57.471";"2";"0";"FINISHED";"NONE";"failure";"0";"0";"2015-02-24 15:28:55.501";"1";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"504";"8";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"2256";"2015-02-24 15:29:01.061";"30";"0";"FINISHED";"LEFT";"failure";"548";"1";"2015-02-24 15:28:58.801";"3";;;;;;;;;;
"gmw1963";"1963";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"2";"1";"2015-02-24 15:28:12.191";"2015-02-24 15:29:20.291";"1";"4";"1";"505";"9";"module.GoNoGopractice.exec-4191.GoNoGo_Practice";"1959";"2015-02-24 15:29:04.421";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2015-02-24 15:29:02.461";"1";;;;;;;;;;
